Name,Category,URL
Bushel,Agribusiness Marketplace,https://bushelpowered.com/
Cibo Technologies,Agribusiness Marketplace,https://www.cibotechnologies.com/
DeHaat,Agribusiness Marketplace,https://agrevolution.in/
FBN,Agribusiness Marketplace,https://www.fbn.com/
Indigo Ag,Agribusiness Marketplace,https://www.indigoag.com/
ProducePay,Agribusiness Marketplace,https://producepay.com/
Agrivida,Animal Technology,https://agrivida.com/
InnovaFeed,Animal Technology,https://innovafeed.com/en/
Native Microbials,Animal Technology,https://www.nativemicrobials.com/
Protix,Animal Technology,https://protix.eu/
Pure Salmon,Animal Technology,https://pure-salmon.com/
Recombinetics,Animal Technology,https://recombinetics.com/
Ynsect,Animal Technology,https://www.ynsect.com/
Bowery,Controlled Environment Agriculture,https://bowery.co/
InFarm,Controlled Environment Agriculture,https://www.infarm.com/
Plenty,Controlled Environment Agriculture,https://www.plenty.ag/
Bioenergy Devco,Crop Nutrition,https://bioenergydevco.com/
Concentric Agriculture,Crop Nutrition,https://www.concentricag.com/
Pivot Bio,Crop Nutrition,https://www.pivotbio.com/
Mosaic Biosciences,Crop Nutrition,https://www.cropnutrition.com/
Sound Agriculture,Crop Nutrition,https://www.sound.ag/
AgBiome,Crop Protection,https://agbiome.com/
